animal_id,found_location
A726296,Austin (TX)
A665496,12001 Metric Blvd in Austin (TX)
A697897,6913 Whispering Oaks in Austin (TX)
A685169,8515 S Ih 35 Apt 6225 in Austin (TX)
A665002,509 E Todd Lane in Austin (TX)
A752626,Sandshof And Loyola in Austin (TX)
A685278,6303 Huntleigh Way in Austin (TX)
A681720,Linden Ln in Travis (TX)
A684113,1107 Lambie in Austin (TX)
A710272,Austin (TX)
A740573,8431 Bangor Bend in Austin (TX)
A680013,400 S. Congress Ave in Austin (TX)
A713485,Austin (TX)
A664936,501 U.S. 183 in Austin (TX)
A735125,Turnersville And Toll Rd 45 in Travis (TX)
A666171,N Ih35 And Blackson St in Austin (TX)
A750872,107 E Rector St in Manor (TX)
A760315,6505 Burleson Road in Austin (TX)
A682138,905 Bedford in Austin (TX)
A439728,8208 Georgie Trace in Austin (TX)
A730504,1200 Barbra Jordan Blvd #100 in Austin (TX)
A684875,414 Thompson Lane in Austin (TX)
A702918,4801 Pimico in Del Valle (TX)
A734337,Austin (TX)
A674781,Travis (TX)
A734375,W William Cannon Dr & West Gate Blvd in Austin (TX)
A704763,2323 San Antonio Street in Austin (TX)
A755830,5704 Parkwood Drive in Austin (TX)
A763884,Austin (TX)
A671743,Lucerne And Swiss Dr in Travis (TX)
A710099,2903 Locke #B in Austin (TX)
A674688,Austin (TX)
A521273,4800 Shaw Ln in Austin (TX)
A682384,Austin (TX)
A671706,7312 Laldybug St in Austin (TX)
A699362,Austin (TX)
A746133,505 East Huntland Drive in Austin (TX)
A692091,3401 Red River in Austin (TX)
A714945,1101 S Mopac in Austin (TX)
A697282,Austin (TX)
A695691,4612 Sherwyn Dr in Austin (TX)
A764596,3200 Crownover Street in Austin (TX)
A667077,7610 Cameron Rd in Austin (TX)
A758177,Blanco Street And 9Th Street in Austin (TX)
A685105,6512 Bradley Dr in Austin (TX)
A678802,4700 East Riverside Dr in Austin (TX)
A697003,4000 Airport in Austin (TX)
A679346,Austin (TX)
A723084,1605 Suffolk Dr in Austin (TX)
A682489,14001 Avery Ranch Blvd in Austin (TX)
A766191,Delta Post Drive And Fm 969 in Austin (TX)
A721380,Virgo Ln And in Austin (TX)
A726297,Austin (TX)
A703497,5902 North Hampton Drive in Austin (TX)
A744630,13901 Fm 969 in Travis (TX)
A692896,5707 Magee Bend in Austin (TX)
A667075,Austin (TX)
A703625,Austin (TX)
A747042,10513 Cooper Hill Dr in Austin (TX)
A712737,Harris Redge Blvd And Sebastian Bend in Pflugerville (TX)
A698931,Windsor Rd And Exposition Blvd in Austin (TX)
A764223,5608 Honeybee Bend in Austin (TX)
A733930,Travis (TX)
A723672,1407 Warrior in Travis (TX)
A732478,Travis (TX)
A678461,7615 Northview Ln in Austin (TX)
A686932,9808 Oak Run Drive in Austin (TX)
A674282,3201 Jack Cook Dr. in Austin (TX)
A747288,10610 Morado Cir in Austin (TX)
A663692,Austin (TX)
A740349,1501 Fm973 in Austin (TX)
A723523,5305 Park At Woodlands in Austin (TX)
A745987,14507 Gold Fish Pond Ave. in Austin (TX)
A705974,14907 Lucerne Dr in Travis (TX)
A761565,11906 Bronco Circle in Austin (TX)
A686201,5708 Elk Crossing in Austin (TX)
A682433,5315 Ed Bluestein Blvd in Austin (TX)
A688038,Metric And Bittern in Austin (TX)
A689483,Duval And 43Rd St in Austin (TX)
A757183,14320 Tandem Blvd in Austin (TX)
A670785,11300 Samsung Blvd in Austin (TX)
A754004,9200 Cameron Road in Austin (TX)
A699678,1016 W Stassney Ln in Austin (TX)
A680237,17701 Prairie Vebenia in Travis (TX)
A698559,Braker Ln And Hwy 183 in Austin (TX)
A731888,Austin (TX)
A696483,Austin (TX)
A601748,3302 Glenview Ave in Austin (TX)
A670714,4902 Teri Rd in Austin (TX)
A670732,2704 Wilson St. in Austin (TX)
A666457,3006 Royster in Austin (TX)
A728886,1120 Brookswood Ave in Austin (TX)
A650538,615 Thrasher in Austin (TX)
A693314,7117 Heine Farm Rd in Del Valle (TX)
A759293,West Anderson Lane And Shoal Creek Blvd in Austin (TX)
A739018,3100 Collins Creek Dr in Austin (TX)
A763628,Austin (TX)
A691384,4612 Convict Hill Rd in Austin (TX)
A632902,Austin (TX)
A766139,3543 Greystone Drive in Austin (TX)
A766203,620 & Volente in Austin (TX)
A666810,Austin (TX)
A757797,8516 Brooksfield Drive in Austin (TX)
A671503,1105 E Cesar Chavez St in Austin (TX)
A712747,Braker And Ih35 in Austin (TX)
A727325,8028 Elroy Rd in Travis (TX)
A753867,18247 Blake Manor Rd in Austin (TX)
A726971,9300 S Ih 35 Frontage Rd in Austin (TX)
A750884,6403 Johnny Morris Rd in Austin (TX)
A763677,13005 Heinemann Dr in Austin (TX)
A721885,Outside Jurisdiction
A766868,Travis (TX)
A683361,8714 Fm812 in Austin (TX)
A667550,7007 Mount Carrell Dr in Austin (TX)
A718068,Austin (TX)
A730716,8105 Shaol Creek Blvd in Austin (TX)
A730735,10203 Doc Holiday Trl in Austin (TX)
A733014,Austin (TX)
A730944,2300 Devonshire Dr in Austin (TX)
A750209,9070 Research Blvd in Austin (TX)
A713720,12138 N. Lamar Blvd in Austin (TX)
A747756,101 Jones Road in Manor (TX)
A746676,7300 Cameron Rd in Austin (TX)
A757442,Austin (TX)
A696388,3500 Eskew Dr in Austin (TX)
A764308,West Rundberg Lane And North Lamar Boulevard in Austin (TX)
A754079,9717 Sunflower Drive in Austin (TX)
A756123,Austin (TX)
A748778,1834 Ferguson in Austin (TX)
A745676,Austin (TX)
A682044,15Th And Colorado in Austin (TX)
A683795,3603 Southridge Dr in Austin (TX)
A671478,501 E 8Th in Austin (TX)
A713689,5801 Interregional Hwy in Austin (TX)
A716018,Roseborough Dr And Running Water in Austin (TX)
A704326,12440 Alameda Trace Circle in Austin (TX)
A644165,11039 Maha Loop in Travis (TX)
A707196,Little Pebble Dr And Metric in Austin (TX)
A704833,3300 Killingsworth Ln in Pflugerville (TX)
A703097,307 Fm 1626 in Austin (TX)
A723579,Austin (TX)
A712508,401 Battle Bend Blvd in Austin (TX)
A717196,1881 Grove Blvd in Austin (TX)
A689063,Travis (TX)
A755942,Bluff Springs And East William Cannon in Austin (TX)
A716498,6403 Johnny Morris Rd in Austin (TX)
A515605,Bennet Ave in Austin (TX)
A760195,1205 Citation Circle in Del Valle (TX)
A649375,4800 S Ih 35 in Austin (TX)
A729561,7000 Millrace in Austin (TX)
A287017,6620 Deatonhill Dr in Austin (TX)
A704117,2753 Citation Drive in Del Valle (TX)
A665817,Austin (TX)
A673004,4434 Frontier Trl in Austin (TX)
A702371,7730 Manassas Dr in Austin (TX)
A690746,8800 Highway 290 in Austin (TX)
A676459,3227 E 5Th St in Austin (TX)
A702080,401 Masterson Pass in Austin (TX)
A464377,12800 Harrisglenn Dr in Austin (TX)
A713289,West Gate And Hadley in Austin (TX)
A722646,S 1St St & Lightsey Rd in Austin (TX)
A746323,Austin (TX)
A722707,4120 Freidrich #600 in Austin (TX)
A734053,7322 Dixie in Austin (TX)
A666654,Austin (TX)
A733258,6808 S Ih35 in Austin (TX)
A686349,Ohlen And 183 in Austin (TX)
A708414,3810 Manchaca Road in Austin (TX)
A688699,Leander (TX)
A686821,9807 Middle Fiskville Rd in Austin (TX)
A728905,Peaceful Hill Ln in Austin (TX)
A678356,189 Jacobson Rd in Del Valle (TX)
A735370,Austin (TX)
A744618,45Th St And Guadalupe St in Austin (TX)
A760385,21205 W Sh 71 in Travis (TX)
A756390,Austin (TX)
A753485,2808 Palomino Trl in Austin (TX)
A759005,7200 Bluff Springs Rd in Austin (TX)
A673205,5808 Mckinney Falls Pkwy in Austin (TX)
A718415,1156 W Cesar Chavez in Austin (TX)
A715868,1354 Old Lockhart Hwy in Travis (TX)
A757989,Brougham Way And Drummond Drive in Austin (TX)
A716935,6801 Circle S Rd in Austin (TX)
A696861,255 Mallet Court in Austin (TX)
A711989,7111 Grand Canyon in Austin (TX)
A748040,Austin (TX)
A743191,6280 Mcneil Drive in Travis (TX)
A732639,1005 Springdale in Austin (TX)
A756858,4511 E Hwy 71 in Del Valle (TX)
A707657,Fay St in Manor (TX)
A681460,Austin (TX)
A688129,2305 Park Lane in Travis (TX)
A680929,12034 Research in Austin (TX)
A707601,Austin (TX)
A735782,1840 Burton Dr in Austin (TX)
A702608,Linton Dr And Calico Dr in Austin (TX)
A741931,1909 Coats Cir in Austin (TX)
A737548,Wickersham Ln And Cromwell Cir in Austin (TX)
A616374,4008 Reeders Drive in Travis (TX)
A670236,Austin (TX)
A728108,6301 Harold Ct. in Austin (TX)
A752765,1900 Onion Creek Parkway in Austin (TX)
A698314,Austin (TX)
A752209,Bolm Rd And Garnder Rd in Austin (TX)
A665706,43 Rainey St in Austin (TX)
A703605,Austin (TX)
A719206,Travis (TX)
A720236,4477 S Lamar Blvd in Austin (TX)
A690667,4604 Reyes St in Austin (TX)
A723104,10700 Oak View Dr in Austin (TX)
A708349,9712 Brown Ln in Austin (TX)
A702974,Riverside And Wickersham in Austin (TX)
A689084,Georgain Dr in Austin (TX)
A667511,Austin (TX)
A684966,Spicewood Springs & 183 in Austin (TX)
A748811,3105 S Ih 35 in Austin (TX)
A704860,Austin (TX)
A743260,7201 Levander Loop in Austin (TX)
A684860,7010 Texas 71 in Austin (TX)
A743063,15002 Swiss Dr in Travis (TX)
A664378,Pflugerville (TX)
A734597,6403 Tiner in Austin (TX)
A734259,Springdale Rd And Airport Blvd in Austin (TX)
A695751,Johnny Morris Rd & Breezy Hill Dr in Austin (TX)
A759106,4411 Airport Blvd in Austin (TX)
A712278,13401 Metric Blvd in Austin (TX)
A677464,1430 Frontier Valley in Austin (TX)
A730920,Austin (TX)
A751627,7710 Forest Wood Rd in Austin (TX)
A723348,10409 Crescendo Ln in Austin (TX)
A750023,Rundberg And Ih 35 in Austin (TX)
A742403,Hergotz Ln & Herrera St in Austin (TX)
A669600,Austin (TX)
A741663,1605 Kerr in Austin (TX)
A751274,15208 Chamberlain Ct in Austin (TX)
A749109,Austin (TX)
A735494,1109 S Pleasant Valley in Austin (TX)
A711209,Hwy 183 in Austin (TX)
A680719,1405 Greenwood in Austin (TX)
A715126,8502 Woodstone Dr in Austin (TX)
A551642,1503 Morgan Ln in Austin (TX)
A728317,Austin (TX)
A706404,13300 Dessau in Austin (TX)
A708871,Austin (TX)
A678011,Teri And Copperbend in Austin (TX)
A704485,11105 2Nd St in Jonestown (TX)
A665615,4708 Marblehead in Austin (TX)
A729947,Walnut Ave & Graham St in Austin (TX)
A727432,12345 Lamplight Village in Austin (TX)
A673043,2932 Ellon Rd in Del Valle (TX)
A724892,4702 Rocking Chair Rd in Austin (TX)
A683483,N Lamar/Rundberg in Austin (TX)
A707340,11901 North Mopac in Austin (TX)
A666719,9200 N. Plaza in Austin (TX)
A746702,11601 Autumn Ridge Dr in Austin (TX)
