intake_year,animal_type,breed,count
2014,Dog,Basset Hound Mix,23
2014,Dog,Maltese/Miniature Poodle,22
2014,Dog,Dachshund Longhair Mix,22
2014,Dog,Chihuahua Shorthair/Rat Terrier,22
2014,Dog,Australian Cattle Dog,22
2014,Dog,Boxer,22
2014,Dog,Blue Lacy Mix,22
2014,Dog,Rottweiler,21
2014,Dog,Lhasa Apso Mix,21
2014,Dog,Collie Smooth Mix,21
2014,Dog,Siberian Husky,20
2014,Dog,Dachshund Wirehair Mix,20
2014,Dog,Labrador Retriever/Australian Cattle Dog,19
2014,Dog,Chinese Sharpei Mix,19
2014,Dog,Beagle,19
2014,Dog,Toy Poodle Mix,18
2014,Dog,Labrador Retriever/Pointer,18
2014,Dog,Labrador Retriever/Australian Shepherd,18
2014,Dog,English Bulldog Mix,18
